fingerprint_domain,related_fingerprint_domain,source_concept,target_concept,proposed_relationship,relationship_class,current_representation,api_evidence,target_resolution,signature_verification_state,semantic_validation_state,feasible_runtime_collector,collector_scope,expected_collection_cost,failure_semantics,proposed_disposition,notes
ceiling_types,materials,CeilingType,Material,compound layer uses material,cross_domain_dependency,flattened,CompoundStructure.GetLayers; CompoundStructureLayer.MaterialId,resolved where ElementId maps to collected target; unresolved recorded as degraded,signature_verified_declared,partially_validated,FilteredElementCollector/shared ctx cache plus named API traversal: CompoundStructure.GetLayers; CompoundStructureLayer.MaterialId,per-run cache required for repeated target resolution,low to moderate; avoid repeated document scans,"unreadable/id invalid => degraded candidate edge, not extraction failure",research_candidate,candidate only; no output behavior change
floor_types,materials,FloorType,Material,compound layer uses material,cross_domain_dependency,flattened,CompoundStructure.GetLayers; CompoundStructureLayer.MaterialId,resolved where ElementId maps to collected target; unresolved recorded as degraded,signature_verified_declared,partially_validated,FilteredElementCollector/shared ctx cache plus named API traversal: CompoundStructure.GetLayers; CompoundStructureLayer.MaterialId,per-run cache required for repeated target resolution,low to moderate; avoid repeated document scans,"unreadable/id invalid => degraded candidate edge, not extraction failure",research_candidate,candidate only; no output behavior change
line_styles,line_patterns,GraphicsStyle,LinePatternElement,line style uses line pattern,cross_domain_dependency,partially_represented,GraphicsStyleCategory line pattern id,resolved where ElementId maps to collected target; unresolved recorded as degraded,signature_verified_declared,partially_validated,FilteredElementCollector/shared ctx cache plus named API traversal: GraphicsStyleCategory line pattern id,per-run cache required for repeated target resolution,low to moderate; avoid repeated document scans,"unreadable/id invalid => degraded candidate edge, not extraction failure",research_candidate,candidate only; no output behavior change
loaded_family_types,,FamilySymbol,Family,family symbol belongs to family,containment,flattened,FamilySymbol.Family,resolved where ElementId maps to collected target; unresolved recorded as degraded,signature_verified_declared,partially_validated,FilteredElementCollector/shared ctx cache plus named API traversal: FamilySymbol.Family,per-run cache required for repeated target resolution,low to moderate; avoid repeated document scans,"unreadable/id invalid => degraded candidate edge, not extraction failure",research_candidate,candidate only; no output behavior change
materials,,Material,AppearanceAssetElement,appearance asset reference,cross_domain_dependency,absent,Material.AppearanceAssetId,unresolved in current extractor output; would require new ElementId read and target collection,signature_verified_declared,not_validated,Blocked for behavior preservation; future behavior-changing collector would read Material.AppearanceAssetId and resolve AppearanceAssetElement via document lookup/cache,future per-run material/appearance asset cache required; not currently collected,moderate if implemented later; no current extractor cost,currently not emitted; future unreadable/id invalid states must be degraded without changing existing material hashes,future_behavior_changing_candidate,domains/materials.py explicitly defers Appearance payload capture and current repo has no AppearanceAssetId read; adding this edge would be new output behavior.
materials,fill_patterns_model,Material,FillPatternElement,model fill pattern reference,cross_domain_dependency,partially_represented,Material foreground/background pattern ids,resolved where ElementId maps to collected target; unresolved recorded as degraded,signature_verified_declared,partially_validated,FilteredElementCollector/shared ctx cache plus named API traversal: Material foreground/background pattern ids,per-run cache required for repeated target resolution,low to moderate; avoid repeated document scans,"unreadable/id invalid => degraded candidate edge, not extraction failure",research_candidate,candidate only; no output behavior change
materials,fill_patterns_drafting,Material,FillPatternElement,surface/cut drafting pattern reference,cross_domain_dependency,partially_represented,Material foreground/background pattern ids,resolved where ElementId maps to collected target; unresolved recorded as degraded,signature_verified_declared,partially_validated,FilteredElementCollector/shared ctx cache plus named API traversal: Material foreground/background pattern ids,per-run cache required for repeated target resolution,low to moderate; avoid repeated document scans,"unreadable/id invalid => degraded candidate edge, not extraction failure",research_candidate,candidate only; no output behavior change
object_styles_model,line_patterns,Category,LinePatternElement,object style line pattern reference,cross_domain_dependency,partially_represented,Category line pattern ids,resolved where ElementId maps to collected target; unresolved recorded as degraded,signature_verified_declared,partially_validated,FilteredElementCollector/shared ctx cache plus named API traversal: Category line pattern ids,per-run cache required for repeated target resolution,low to moderate; avoid repeated document scans,"unreadable/id invalid => degraded candidate edge, not extraction failure",research_candidate,candidate only; no output behavior change
object_styles_model,materials,Category,Material,object style material reference,cross_domain_dependency,partially_represented,Category.Material,resolved where ElementId maps to collected target; unresolved recorded as degraded,signature_verified_declared,partially_validated,FilteredElementCollector/shared ctx cache plus named API traversal: Category.Material,per-run cache required for repeated target resolution,low to moderate; avoid repeated document scans,"unreadable/id invalid => degraded candidate edge, not extraction failure",research_candidate,candidate only; no output behavior change
roof_types,materials,RoofType,Material,compound layer uses material,cross_domain_dependency,flattened,CompoundStructure.GetLayers; CompoundStructureLayer.MaterialId,resolved where ElementId maps to collected target; unresolved recorded as degraded,signature_verified_declared,partially_validated,FilteredElementCollector/shared ctx cache plus named API traversal: CompoundStructure.GetLayers; CompoundStructureLayer.MaterialId,per-run cache required for repeated target resolution,low to moderate; avoid repeated document scans,"unreadable/id invalid => degraded candidate edge, not extraction failure",research_candidate,candidate only; no output behavior change
